Name,FB%,SL%,CT%,CB%,CH%,SF%,KN%,KNv,SFv,CHv,CBv,CTv,SLv,FBv,XX%,Contact%,O-Swing%,Z-Swing%,Zone%,SIERA,ERA
Joey Lucchesi,64.0,,,3.1,32.9,,,,,79.2,76.6,,,90.3,0.5,76.9,26.2,61.2,45.5,3.82,3.79
Derek Holland,55.9,16.0,,20.7,7.4,,,,,83.1,79.1,,81.4,91.6,0.7,77.4,29.3,68.2,45.8,4.05,3.83
J.A. Happ,74.1,12.1,0.3,2.1,11.5,,,,,86.1,75.9,87.5,85.5,91.9,0.0,77.3,31.4,71.9,40.1,3.61,3.84
Kenta Maeda,44.4,25.9,1.6,12.7,15.3,,,,,84.3,77.3,85.9,83.8,91.8,0.8,71.5,32.7,68.9,44.1,3.59,3.85
Shane Greene,48.9,25.4,25.7,,,,,,,,,88.3,81.4,94.5,0.5,81.4,29.3,64.9,46.3,3.44,3.86
Mike Leake,38.4,11.9,22.7,10.1,16.9,,,,,83.7,78.5,87.5,80.3,88.9,0.4,84.9,34.1,68.6,43.7,4.44,3.9
Stephen Strasburg,51.3,9.2,,21.8,17.8,,,,,88.7,82.4,,88.1,95.3,0.4,75.1,32.1,65.3,44.6,3.18,3.9
Brett Anderson,49.3,26.0,,7.9,16.9,,,,,83.5,75.5,,82,90.5,,86.5,33.8,66.7,41.2,4.55,3.9
Blaine Hardy,33.3,35.2,,8.5,23.0,,,,,79.5,75.3,,83.5,87.8,0.3,80.6,31.4,63.7,43.0,4.42,3.91
Marco Gonzales,33.5,,20.9,22.3,23.4,,,,,83.8,78.2,87.3,,90.2,,80.9,35.8,64.0,42.7,3.78,3.91
Lance McCullers Jr.,37.4,,,46.5,16.1,,,,,87.3,85.9,,,94.3,,70.3,32.2,63.5,41.0,3.68,3.93
Ryan Tepera,62.9,2.1,33.2,,1.8,,,,,89.3,,89.4,81.2,95.1,0.2,72.3,34.4,74.2,38.4,3.47,3.93
Yonny Chirinos,59.4,19.8,,,,20.8,,,85.3,,,,87.1,93.4,1.1,77.3,33.2,73.5,42.4,4.13,3.96
Chase Anderson,53.0,,10.3,18.4,18.3,,,,,82.4,76.9,88.7,,92.5,,80.4,30.0,69.3,42.1,4.76,3.97
Cody Allen,61.3,,,38.7,,,,,,,83.5,,,93.7,0.7,71.5,29.7,67.2,43.5,3.48,3.98
Brian Johnson,50.7,19.0,,28.6,1.8,,,,,81.4,74.8,,78.6,88.5,,80.3,31.7,63.4,42.2,4.18,4
Cole Hamels,41.8,,24.8,14.2,19.1,,,,,83.1,78.9,86.8,,91.8,,74.2,32.9,68.6,41.4,4,4
Ryan Yarbrough,30.2,10.4,33.7,,25.8,,,,,81.4,,87,77,89.4,1.1,82.4,31.9,68.5,44.3,4.09,4.01
Masahiro Tanaka,25.4,33.2,6.1,4.5,1.8,29.0,,,86.8,84.8,77,89.3,83.5,91.7,,72.5,36.5,68.9,39.8,3.57,4.03
Rick Porcello,49.8,24.4,,13.7,12.1,,,,,81.5,74.8,,86.1,90.3,,81.8,30.8,65.7,46.2,3.7,4.04
Wade LeBlanc,36.1,0.2,24.6,9.1,30.1,,,,,77.5,72.6,83.2,77.7,86.3,0.2,80.2,34.0,63.8,40.5,4.24,4.04
Brian Flynn,69.9,29.4,,,0.7,,,,,83.7,,,85.6,91.8,0.7,83.1,28.5,69.9,41.4,4.92,4.06
Matt Andriese,46.9,,1.6,8.4,43.2,,,,,86.1,80.6,86.8,,92.2,0.8,76.0,34.1,72.0,44.1,3.38,4.08
Tyler Glasnow,72.5,8.9,,17.9,0.8,,,,,92.7,82.2,,85.3,96.7,0.4,72.2,24.7,64.7,44.3,3.49,4.1
Kyle Hendricks,63.5,,,7.3,29.2,,,,,78.6,71.7,,,86.8,0.6,78.6,31.1,57.7,43.4,4.01,4.11
Andrew Heaney,58.0,25.5,,,16.6,,,,,83.3,,,78.5,91.8,,75.8,32.8,67.3,42.6,3.89,4.11
Anthony DeSclafani,58.5,32.4,,4.6,4.5,,,,,88.1,80.3,,86.5,93.2,0.4,82.4,29.1,65.8,45.9,4.12,4.12
Vince Velasquez,65.5,14.1,,15.9,4.6,,,,,87.9,81.2,,84.9,93.9,0.1,74.8,28.3,66.6,46.0,3.94,4.13
Tanner Roark,58.4,12.3,2.7,14.5,12.2,,,,,83.3,74.7,89.3,84.9,91.4,0.5,81.0,30.6,66.4,40.7,4.39,4.13
Brad Ziegler,73.6,17.4,,,9.0,,,,,76.2,,,73.7,84.2,2.4,78.9,33.7,74.5,39.2,3.12,4.14
Tyson Ross,42.0,42.2,14.9,,0.9,,,,,86.4,,89.1,84.5,91,0.4,80.2,30.1,61.4,38.1,4.6,4.18
Caleb Smith,59.0,27.3,,,13.7,,,,,84,,,81.7,92.8,0.5,75.6,30.4,70.7,42.9,4.07,4.19
Amir Garrett,64.1,32.4,,,3.6,,,,,84.5,,,83.4,95,0.9,70.6,30.2,65.5,44.4,3.28,4.2
Joe Kelly,58.8,16.1,,16.3,8.8,,,,,87.3,84,,88,97.9,,77.2,26.6,66.0,44.2,4.03,4.21
Kevin Gausman,59.0,15.6,,,4.3,21.1,,,83.1,82.4,,,81.5,93.7,,77.9,33.3,69.5,43.1,4.17,4.22
Julio Teheran,64.0,21.2,,5.9,9.0,,,,,82.6,72.2,,80.2,89.9,0.4,74.2,28.5,65.8,38.2,4.67,4.24
Ivan Nova,68.2,,,19.9,11.8,,,,,86.5,80.6,,,93,0.6,82.1,32.0,70.2,43.1,4.44,4.26
Matt Boyd,47.1,31.0,,13.6,8.3,,,,,78.1,72,,80.6,89.9,,78.2,30.1,67.6,41.7,4.33,4.27
Ryan Borucki,60.2,14.6,,,25.2,,,,,83.7,,,77.1,91.8,0.6,84.9,33.0,61.8,39.5,5.08,4.27
Matt Koch,42.4,,25.4,16.4,15.8,,,,,85.3,79.7,89.5,,91.3,0.2,86.6,29.7,68.7,44.9,5.04,4.28
Trevor Richards,55.4,,,13.7,30.9,,,,,82.9,80.3,,,90.9,0.5,78.0,30.9,66.0,40.1,4.46,4.28
Jose Quintana,67.6,,,24.7,7.7,,,,,86.3,76.1,,,91.4,0.5,81.9,26.7,61.4,43.9,4.63,4.36
Jordan Zimmermann,45.1,33.9,,15.3,5.8,,,,,86.3,80.5,,86.8,91.1,,80.5,34.9,68.7,42.4,4.09,4.36
Shane Bieber,58.1,22.9,,14.8,4.3,,,,,87.9,79.7,,83.2,92.7,,76.3,30.4,63.4,49.0,3.59,4.37
James Shields,35.8,,22.5,23.1,18.6,,,,,83.5,76.8,86.3,,89.4,0.2,76.9,30.2,67.5,40.7,4.85,4.39
Tyler Anderson,46.1,,28.3,3.9,21.7,,,,,81.2,74.4,87.5,,91.7,,76.5,30.2,70.7,45.7,4.27,4.39
Ty Blach,58.0,4.2,,11.6,26.2,,,,,79.8,75.6,,78.5,89.9,0.7,84.3,27.6,63.2,44.4,4.57,4.4
German Marquez,55.6,15.0,,22.8,6.6,,,,,85.8,81.5,,85.3,95.1,0.7,76.6,29.1,65.4,47.4,3.78,4.42
Zack Godley,31.2,,22.4,41.1,5.4,,,,,81.2,81.6,89,,90.1,0.3,73.1,31.8,63.2,38.7,4.1,4.44
Brent Suter,68.9,6.2,,12.0,12.9,,,,,80.3,73.9,,78.2,86.7,0.5,79.2,32.4,66.6,44.6,4.12,4.44
Daniel Mengden,54.0,18.6,2.7,10.8,13.9,,,,,81.7,72.1,87.1,83.2,92.1,,83.5,30.7,67.0,46.8,4.78,4.47
Antonio Senzatela,67.8,21.3,,4.7,6.2,,,,,86.9,77.9,,83.3,93.9,,83.7,23.0,64.4,43.9,4.64,4.47
Buck Farmer,59.1,5.8,,10.2,24.9,,,,,86.7,80.4,,81.7,94.5,0.5,75.0,29.1,68.7,40.1,4.63,4.47
Trevor Hildenberger,41.7,24.5,,,33.7,,,,,78.2,,,78.5,89.8,2.7,71.7,34.5,65.8,43.4,3.66,4.48
Freddy Peralta,77.2,,,19.6,3.2,,,,,86.2,76.6,,,90.8,0.4,74.5,27.4,65.6,42.9,4.1,4.48
Chris Archer,45.7,42.6,,0.9,10.9,,,,,87.5,82.6,,88,94.7,0.1,72.6,32.4,69.3,43.9,3.8,4.49
Doug Fister,63.1,14.5,,13.3,9.1,,,,,82.1,73,,84.8,88.4,,87.6,28.1,60.0,40.8,4.67,4.5
Jose Urena,57.7,23.2,,0.0,19.1,,,,,89.9,84,,86.2,95.8,1.3,81.9,32.0,69.2,40.2,4.18,4.5
Michael Fulmer,60.2,25.0,,,14.8,,,,,87.9,,,85.7,95.8,,78.8,34.0,68.9,44.8,4.39,4.5
Gio Gonzalez,55.7,,,22.2,22.1,,,,,82.8,75.8,,,89.7,0.3,78.3,28.3,64.4,39.2,4.74,4.51
Aaron Sanchez,65.7,,,9.3,25.0,,,,,88.4,78.8,,,93.8,0.3,76.3,27.0,65.8,40.0,5.05,4.52
Jake Odorizzi,55.4,16.0,6.3,5.9,16.4,,,,,84.3,72.5,85.5,82.9,91,0.3,77.7,32.0,72.1,38.7,4.32,4.55
Chad Kuhl,58.8,19.7,,13.2,8.4,,,,,89.7,82.4,,88.2,95.4,0.3,78.6,24.4,66.3,46.1,4.37,4.55
Steven Matz,60.5,6.2,,16.9,16.4,,,,,83.8,78.5,,88.1,93.3,0.2,80.4,22.3,62.7,49.2,4.31,4.6
Dan Straily,50.1,31.5,,0.3,18.1,,,,,83.6,74.8,,83.8,90.4,1.1,78.3,29.1,68.8,42.0,4.98,4.6
Mike Minor,49.7,21.1,,10.9,18.3,,,,,85.6,80.6,,87.3,92.6,0.2,79.5,33.4,69.7,43.3,4.28,4.61
Jordan Lyles,48.5,10.2,,26.8,14.5,,,,,85.8,83.5,,89,93.5,0.3,79.4,31.9,66.8,45.2,4.05,4.66
Nick Pivetta,59.1,16.7,,22.5,1.7,,,,,87.4,80,,84.5,94.8,,75.2,31.2,66.3,47.8,3.23,4.66
Luke Weaver,57.2,,5.4,12.7,24.7,,,,,85.5,80.8,87.1,,93.7,0.3,78.8,28.1,69.8,43.6,4.37,4.67
Andrew Suarez,51.1,24.7,,14.1,10.1,,,,,86,77.2,,88.9,92.3,,84.7,30.0,65.8,43.1,3.91,4.68
Lance Lynn,76.6,12.1,,9.2,2.1,,,,,85.3,80,,87.3,93.1,0.3,77.9,29.7,74.0,36.5,4.51,4.68
Fernando Romero,63.4,24.7,,,11.9,,,,,90.3,,,86.8,95.4,0.2,77.8,30.1,70.6,44.0,4.49,4.69
Andrew Cashner,61.5,12.8,,13.5,12.2,,,,,83.6,81.2,,85.9,92.6,0.5,84.2,27.1,65.2,42.5,5.06,4.71
Francisco Liriano,44.7,36.4,,,18.9,,,,,85,,,84.1,91.9,,74.8,28.6,63.2,35.9,5.35,4.72
Noe Ramirez,40.3,31.0,,,28.7,,,,,84.5,,,77.9,90.1,0.7,74.6,31.5,62.6,41.4,3.4,4.72
Reynaldo Lopez,61.1,19.3,,4.9,14.8,,,,,83.4,76.1,,84.2,95.5,0.2,81.5,27.4,72.1,45.6,5.26,4.72
Mychal Givens,76.8,12.9,,,10.3,,,,,86,,,86.8,95.2,1.3,77.1,27.6,71.8,49.3,3.75,4.73
Nick Tropeano,47.5,,,24.3,13.2,15.0,,,82.5,82.3,79.7,,,90.4,0.7,73.2,29.0,66.5,40.0,4.68,4.74
Jon Gray,49.6,34.1,,14.9,1.4,,,,,87.1,79.9,,88.1,94.9,0.2,70.3,29.2,66.6,44.5,3.32,4.76
Jakob Junis,51.7,40.7,,1.7,5.9,,,,,84.6,78.4,,82,91.1,0.1,79.5,31.5,62.4,46.0,4.09,4.76
Hector Santiago,69.0,3.3,,7.0,20.7,,,,,82,74.9,,82.8,90.8,0.7,82.4,25.4,67.7,44.4,4.77,4.78
Alex Claudio,54.6,8.9,,,36.5,,,,,70.7,,,75.7,86.1,1.4,79.5,39.7,66.5,40.9,3.41,4.78
Austin Pruitt,42.9,,26.1,21.1,9.9,,,,,85.9,83.1,88,,91.9,,82.3,32.5,72.4,44.8,4.24,4.8
Jake Faria,59.8,16.7,,3.6,20.0,,,,,80.9,75.2,,82.6,91.4,0.4,79.9,26.5,68.2,41.4,5.11,4.84
Luis Castillo,58.1,16.0,,,25.9,,,,,85.9,,,83,95.5,0.0,72.3,33.6,69.6,44.0,3.94,4.86
Marco Estrada,49.5,,6.1,7.2,37.2,,,,,76.9,76.9,85.3,,88.8,0.1,79.5,30.5,73.3,43.8,5.18,4.87
Danny Duffy,56.1,17.0,,8.8,18.2,,,,,83.9,76.4,,83.4,93.3,0.1,78.5,28.6,68.2,44.2,4.76,4.9
Robbie Ray,53.9,26.2,,19.8,,,,,,,82.3,,84.4,93.5,0.3,71.9,29.8,64.5,39.7,3.95,4.91
Matt Harvey,60.8,23.7,,4.1,11.5,,,,,87.2,82.9,,88.5,93.9,0.2,81.7,25.4,70.8,48.9,4.45,4.91
Brandon McCarthy,39.5,7.1,30.0,23.5,,,,,,,80.2,91.4,85.3,92.5,,84.4,29.0,66.1,49.7,4.1,4.92
Steven Brault,65.3,20.1,,2.1,12.5,,,,,85,78,,86.2,92.3,1.3,77.9,27.0,67.9,41.1,5.18,4.93
Tyler Mahle,67.9,20.3,,0.7,11.1,,,,,83.4,77.8,,83.3,92.5,1.4,78.9,30.2,67.2,46.0,4.56,4.95
Wade Davis,48.2,,29.2,22.4,0.2,,,,,88.5,83.3,89.8,,93.7,,74.0,30.5,66.7,36.3,3.71,4.99
Dylan Bundy,56.4,25.7,,8.4,9.6,,,,,83.9,74.5,,81.3,91.6,0.2,75.2,34.5,68.9,47.4,3.98,4.99
Nick Kingham,59.1,17.6,,8.1,15.3,,,,,84.6,79.6,,84.7,92.3,0.6,76.6,32.3,65.4,41.0,4.22,5.02
Jarlin Garcia,52.7,22.4,,,24.9,,,,,85.6,,,85.2,92.1,1.3,81.3,27.6,65.5,43.6,4.99,5.03
Elieser Hernandez,62.0,22.6,,,15.4,,,,,82.9,,,80.4,90.5,1.3,79.3,24.6,66.0,44.5,5.24,5.08
Alex Cobb,51.2,,,22.9,25.9,,,,,86.5,81.5,,,91.9,0.8,83.5,30.9,64.8,44.2,4.54,5.09
Clayton Richard,65.9,27.8,,,6.3,,,,,84.2,,,80.8,90.1,0.1,81.3,29.9,67.2,41.2,4.48,5.11
Sam Gaviglio,57.7,26.3,,5.9,10.1,,,,,82.6,77.8,,82.9,88.1,0.1,79.2,29.2,64.7,40.2,4.08,5.13
Ian Kennedy,60.6,,11.1,17.2,11.1,,,,,85.1,78.4,87.3,,92,0.3,82.4,30.0,68.1,42.7,4.52,5.13
John Axford,74.9,,10.8,14.3,,,,,,,79.7,91.8,,95.5,0.1,79.4,25.5,63.4,43.8,3.63,5.13
Mike Wright,58.4,0.6,27.8,7.1,6.1,,,,,82,77.8,89.5,85.7,92.9,0.3,83.1,28.9,67.4,43.3,4.43,5.17
Bartolo Colon,78.7,7.7,2.7,,11.0,,,,,81.1,,86.2,80.5,87.5,0.1,88.2,32.5,64.4,43.1,4.78,5.19
Wei-Yin Chen,56.5,20.2,,10.2,13.2,,,,,83,73.4,,85.1,91.2,1.4,81.9,27.9,66.7,42.8,4.93,5.2
Tyler Chatwood,58.3,,26.3,8.6,6.8,,,,,86.4,78.2,88.9,,93.1,0.2,79.7,23.1,64.0,38.7,6.24,5.22
Marcus Stroman,49.1,17.7,15.9,12.7,4.6,,,,,82.8,83,90.7,86.2,92.4,,79.0,29.0,64.2,41.6,4.03,5.27
Eric Lauer,58.1,3.2,23.0,11.0,4.8,,,,,84.2,74.1,87.4,81.3,91.1,0.4,81.5,27.4,68.6,46.2,4.74,5.3
Sal Romano,65.5,5.0,,23.4,6.2,,,,,87.7,86.2,,88.5,94.2,0.7,83.0,29.1,66.3,44.6,4.9,5.31
Sonny Gray,35.6,16.3,20.8,23.2,4.1,,,,,89.3,82,93.1,84.9,93.3,,76.6,28.4,64.2,40.4,4.4,5.34
Chad Bettis,41.7,,18.6,12.8,26.9,,,,,86.1,75.8,85.9,,90.4,0.6,79.9,27.1,64.9,41.7,4.92,5.42
Chris Stratton,64.1,11.2,,15.6,9.1,,,,,83.8,77.4,,83.2,91.1,0.2,81.3,27.7,65.6,44.8,4.8,5.52
Felix Hernandez,41.9,5.6,0.3,26.9,25.3,,,,,85,78.8,86,82.4,89.2,0.1,81.4,30.8,65.9,41.2,4.69,5.62
Domingo German,46.8,,,36.3,16.9,,,,,87.5,81.9,,,94.7,,68.8,34.7,64.9,41.6,3.77,5.68
Dylan Covey,62.9,15.7,,10.3,0.1,11.1,,,84.6,83,81,,87.8,93.9,0.7,84.3,25.0,65.8,46.7,4.73,5.87
David Hess,60.8,23.9,,5.9,9.3,,,,,83.1,71.5,,79.7,92,0.5,83.8,29.2,74.3,44.4,5.6,5.95
Jaime Garcia,65.8,16.1,,5.4,12.7,,,,,81.4,72.3,,81.1,89.2,0.1,80.2,27.1,66.2,41.0,4.78,5.96
Jason Hammel,52.2,36.7,,6.6,4.4,,,,,84.7,76.9,,84.9,91.7,0.7,81.8,32.3,67.6,44.5,4.91,5.99
Yovani Gallardo,55.0,20.4,,13.0,11.6,,,,,86.2,79.6,,89.1,91.5,0.4,85.0,25.3,63.2,39.6,5.44,6.06
Joe Biagini,59.4,16.0,,15.4,9.3,,,,,86,77.9,,89.1,94,0.1,81.5,31.6,66.4,41.2,4.28,6.1
Lucas Giolito,59.4,15.3,,9.9,15.5,,,,,81.5,78.4,,83.8,92.3,0.2,80.6,25.8,64.4,43.2,5.58,6.15
Homer Bailey,57.2,15.6,1.7,9.6,,15.9,,,86,,79.6,89.8,87.9,93.1,2.1,83.6,30.2,70.4,47.5,4.98,6.33
Drew Pomeranz,52.0,,7.3,38.2,2.5,,,,,82.2,77.6,85.2,,88.8,,83.6,27.9,66.4,38.0,5.46,6.34
Burch Smith,62.9,,,21.0,16.1,,,,,81.3,77.9,,,93.1,0.1,78.6,26.5,68.4,46.0,4.44,6.54
Martin Perez,66.7,6.3,,9.7,17.4,,,,,83.8,77.7,,83.1,92.3,,85.4,30.1,66.6,40.4,5.1,6.93
Matt Moore,58.3,,9.2,18.7,13.8,,,,,83.5,80.3,89.7,,92.3,0.3,79.8,30.3,68.1,46.5,4.8,6.99
Jason Vargas,55.1,,,15.2,29.7,,,,,80.9,73.6,,,86.7,0.2,76.5,32.7,62.5,40.1,4.87,7.67
